<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ABC,20171130,13.0071,13.0894,12.5132,13.0894,8600,15.8000,15.9000,15.2000,15.9000,0,0,0
ABC,20171129,12.9247,13.2540,12.9247,13.0071,10531,15.7000,16.1000,15.7000,15.8000,0,0,0
ABC,20171128,13.1717,13.2540,12.9248,12.9247,15311,16.0000,16.1000,15.7000,15.7000,0,0,0
ABC,20171127,13.1717,13.1717,13.0071,13.0894,5650,16.0000,16.0000,15.8000,15.9000,0,0,0
ABC,20171124,13.0070,13.0070,12.9247,13.0071,7600,15.8000,15.8000,15.7000,15.8000,0,0,0
ABC,20171123,13.1717,13.1717,12.9248,12.9247,4600,16.0000,16.0000,15.7000,15.7000,0,0,0
ABC,20171122,13.0894,13.1717,12.9248,13.0894,6000,15.9000,16.0000,15.7000,15.9000,0,0,0
ABC,20171121,13.5010,13.5010,13.0071,13.0071,17566,16.4000,16.4000,15.8000,15.8000,0,0,0
ABC,20171120,13.1717,13.4186,13.0070,13.4187,9300,16.0000,16.3000,15.8000,16.3000,0,0,0
ABC,20171117,13.0071,13.3364,13.0071,13.2540,2420,15.8000,16.2000,15.8000,16.1000,0,0,0
ABC,20171116,13.2540,13.4187,13.0894,13.0894,13910,16.1000,16.3000,15.9000,15.9000,0,0,0
ABC,20171115,13.2540,13.5833,13.2540,13.5833,1840,16.1000,16.5000,16.1000,16.5000,0,0,0
ABC,20171114,13.0071,13.8303,12.9247,13.1717,5800,15.8000,16.8000,15.7000,16.0000,0,0,0
ABC,20171113,13.9950,14.2419,13.5010,13.5010,32000,17.0000,17.3000,16.4000,16.4000,0,0,0
ABC,20171110,13.9949,14.3242,13.7480,14.0773,19580,17.0000,17.4000,16.7000,17.1000,0,0,0
ABC,20171109,13.2540,13.9949,13.2540,13.9126,17800,16.1000,17.0000,16.1000,16.9000,0,0,0
ABC,20171108,13.0071,13.1717,12.9248,13.1717,2700,15.8000,16.0000,15.7000,16.0000,0,0,0
ABC,20171107,13.0070,13.0894,12.8424,13.0894,1500,15.8000,15.9000,15.6000,15.9000,0,0,0
ABC,20171106,12.5131,12.8424,12.5131,12.8424,26000,15.2000,15.6000,15.2000,15.6000,0,0,0
ABC,20171103,12.6778,12.6778,12.3485,12.5131,6800,15.4000,15.4000,15.0000,15.2000,0,0,0
ABC,20171102,12.6778,13.1717,12.3485,12.7601,9640,15.4000,16.0000,15.0000,15.5000,0,0,0
ABC,20171101,13.0070,13.1717,12.5954,12.7601,10000,15.8000,16.0000,15.3000,15.5000,0,0,0
ABC,20171031,13.2540,13.2540,12.1838,12.9247,8000,16.1000,16.1000,14.8000,15.7000,0,0,0
ABC,20171030,13.6656,13.6656,13.5010,13.5010,1800,16.6000,16.6000,16.4000,16.4000,0,0,0
ABC,20171027,13.6656,13.6656,13.5010,13.5833,11500,16.6000,16.6000,16.4000,16.5000,0,0,0
ABC,20171026,13.9949,13.9949,13.5833,13.5833,8900,17.0000,17.0000,16.5000,16.5000,0,0,0
ABC,20171025,13.6657,13.9949,13.6657,13.9949,13100,16.6000,17.0000,16.6000,17.0000,0,0,0
ABC,20171024,13.6656,13.9126,13.6656,13.8303,29920,16.6000,16.9000,16.6000,16.8000,0,0,0
ABC,20171023,14.1596,14.5712,13.9950,13.9949,43310,17.2000,17.7000,17.0000,17.0000,0,0,0
ABC,20171020,14.2419,14.4065,14.1596,14.1596,8700,17.3000,17.5000,17.2000,17.2000,0,0,0
ABC,20171019,14.3242,14.3242,14.0773,14.2419,31600,17.4000,17.4000,17.1000,17.3000,0,0,0
ABC,20171018,14.3242,14.3242,14.2419,14.2419,9400,17.4000,17.4000,17.3000,17.3000,0,0,0
ABC,20171017,14.4889,14.4889,14.3243,14.3242,10000,17.6000,17.6000,17.4000,17.4000,0,0,0
ABC,20171016,14.5712,14.5712,14.4889,14.4889,11700,17.7000,17.7000,17.6000,17.6000,0,0,0
ABC,20171013,14.7358,14.7358,14.4066,14.4889,10800,17.9000,17.9000,17.5000,17.6000,0,0,0
ABC,20171012,14.2419,14.7358,13.9949,14.5712,26200,17.3000,17.9000,17.0000,17.7000,0,0,0
ABC,20171011,14.4889,14.4889,14.2420,14.2419,22200,17.6000,17.6000,17.3000,17.3000,0,0,0
