<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HBD,20100916,4.0757,4.0757,4.0757,4.0757,1500,16.5000,16.5000,16.5000,16.5000,0,0,0
HBD,20100915,4.0263,4.0757,4.0263,4.0757,9900,16.3000,16.5000,16.3000,16.5000,0,0,0
HBD,20100914,4.1004,4.1251,4.0757,4.0757,13200,16.6000,16.7000,16.5000,16.5000,0,0,0
HBD,20100913,4.1004,4.1004,4.0757,4.0757,7000,16.6000,16.6000,16.5000,16.5000,0,0,0
HBD,20100910,4.1992,4.1992,4.0757,4.0757,11300,17.0000,17.0000,16.5000,16.5000,0,0,0
HBD,20100909,4.2239,4.2486,4.2239,4.2486,5200,17.1000,17.2000,17.1000,17.2000,0,0,0
HBD,20100907,4.1498,4.2486,4.1498,4.2486,1500,16.8000,17.2000,16.8000,17.2000,0,0,0
HBD,20100906,4.1992,4.1992,4.1992,4.1992,600,17.0000,17.0000,17.0000,17.0000,0,0,0
HBD,20100901,4.1251,4.1251,4.1004,4.1004,6900,16.7000,16.7000,16.6000,16.6000,0,0,0
HBD,20100831,4.1251,4.1251,4.1251,4.1251,100,16.7000,16.7000,16.7000,16.7000,0,0,0
HBD,20100830,3.9522,4.0016,3.9522,3.9522,1200,16.0000,16.2000,16.0000,16.0000,0,0,0
HBD,20100827,3.8781,3.9522,3.8287,3.9028,28200,15.7000,16.0000,15.5000,15.8000,0,0,6900
HBD,20100826,3.8781,3.9522,3.8781,3.9522,5900,15.7000,16.0000,15.7000,16.0000,0,0,0
HBD,20100825,4.0016,4.0016,3.8287,3.8287,10000,16.2000,16.2000,15.5000,15.5000,0,0,7000
HBD,20100824,4.1004,4.1004,4.0757,4.0757,8900,16.6000,16.6000,16.5000,16.5000,0,0,3000
HBD,20100823,4.0016,4.1004,4.0016,4.1004,8400,16.2000,16.6000,16.2000,16.6000,0,0,8000
HBD,20100820,4.0757,4.1004,4.0757,4.1004,14100,16.5000,16.6000,16.5000,16.6000,0,0,9000
HBD,20100819,4.1004,4.1004,4.0757,4.1004,10500,16.6000,16.6000,16.5000,16.6000,0,0,0
HBD,20100818,4.1004,4.1004,4.1004,4.1004,1500,16.6000,16.6000,16.6000,16.6000,0,0,0
HBD,20100817,4.1992,4.1992,4.1992,4.1992,100,17.0000,17.0000,17.0000,17.0000,0,0,0
HBD,20100816,4.0757,4.1992,4.0757,4.1992,1600,16.5000,17.0000,16.5000,17.0000,0,200,0
HBD,20100812,4.1251,4.1251,4.0757,4.0757,4100,16.7000,16.7000,16.5000,16.5000,0,2300,0
HBD,20100811,4.1498,4.1992,4.1004,4.1004,700,16.8000,17.0000,16.6000,16.6000,0,0,0
